"date","day","month","year","cases","deaths"
"6/29/2020","29","6","2020","3178","167"
"6/28/2020","28","6","2020","4149","128"
"6/27/2020","27","6","2020","3843","157"
"6/26/2020","26","6","2020","3486","163"
"6/25/2020","25","6","2020","3541","87"
"6/24/2020","24","6","2020","2389","94"
"6/23/2020","23","6","2020","2531","73"
"6/22/2020","22","6","2020","3019","111"
"6/21/2020","21","6","2020","2357","81"
"6/20/2020","20","6","2020","3059","95"
"6/19/2020","19","6","2020","3171","86"
"6/18/2020","18","6","2020","2115","63"
"6/17/2020","17","6","2020","1868","75"
"6/16/2020","16","6","2020","2124","59"
"6/15/2020","15","6","2020","2193","75"
"6/14/2020","14","6","2020","1888","47"
"6/13/2020","13","6","2020","3176","112"
"6/12/2020","12","6","2020","0","0"
"6/11/2020","11","6","2020","1604","61"
"6/10/2020","10","6","2020","1359","64"
"6/9/2020","9","6","2020","1483","49"
"6/8/2020","8","6","2020","1209","54"
"6/7/2020","7","6","2020","1392","60"
"6/6/2020","6","6","2020","1515","58"
"6/5/2020","5","6","2020","1766","42"
"6/4/2020","4","6","2020","1521","36"
"6/3/2020","3","6","2020","1340","40"
"6/2/2020","2","6","2020","1110","30"
"6/1/2020","1","6","2020","1147","49"
"5/31/2020","31","5","2020","1548","37"
"5/30/2020","30","5","2020","1322","31"
"5/29/2020","29","5","2020","1262","19"
"5/28/2020","28","5","2020","1101","27"
"5/27/2020","27","5","2020","1022","26"
"5/26/2020","26","5","2020","806","23"
"5/25/2020","25","5","2020","998","22"
"5/24/2020","24","5","2020","1046","23"
"5/23/2020","23","5","2020","801","30"
"5/22/2020","22","5","2020","643","22"
"5/21/2020","21","5","2020","752","17"
"5/20/2020","20","5","2020","640","21"
"5/19/2020","19","5","2020","721","18"
"5/18/2020","18","5","2020","635","12"
"5/17/2020","17","5","2020","723","16"
"5/16/2020","16","5","2020","606","21"
"5/15/2020","15","5","2020","680","16"
"5/14/2020","14","5","2020","658","16"
"5/13/2020","13","5","2020","659","14"
"5/12/2020","12","5","2020","550","16"
"5/11/2020","11","5","2020","568","18"
"5/10/2020","10","5","2020","444","17"
"5/9/2020","9","5","2020","595","21"
"5/8/2020","8","5","2020","497","10"
"5/7/2020","7","5","2020","346","19"
"5/6/2020","6","5","2020","640","20"
"5/5/2020","5","5","2020","305","18"
"5/4/2020","4","5","2020","383","16"
"5/3/2020","3","5","2020","279","10"
"5/2/2020","2","5","2020","499","21"
"5/1/2020","1","5","2020","296","15"
"4/30/2020","30","4","2020","262","9"
"4/28/2020","28","4","2020","218","10"
"4/27/2020","27","4","2020","237","10"
"4/26/2020","26","4","2020","261","8"
"4/25/2020","25","4","2020","320","10"
"4/24/2020","24","4","2020","205","9"
"4/23/2020","23","4","2020","207","10"
"4/22/2020","22","4","2020","172","7"
"4/21/2020","21","4","2020","185","10"
"4/20/2020","20","4","2020","171","13"
"4/19/2020","19","4","2020","182","13"
"4/18/2020","18","4","2020","206","9"
"4/17/2020","17","4","2020","128","13"
"4/16/2020","16","4","2020","126","4"
"4/15/2020","15","4","2020","127","15"
"4/14/2020","14","4","2020","76","3"
"4/13/2020","13","4","2020","67","9"
"4/12/2020","12","4","2020","236","20"
"4/11/2020","11","4","2020","250","11"
"4/10/2020","10","4","2020","169","14"
"4/9/2020","9","4","2020","274","5"
"4/8/2020","8","4","2020","201","4"
"4/7/2020","7","4","2020","94","11"
"4/6/2020","6","4","2020","79","3"
"4/5/2020","5","4","2020","139","7"
"4/4/2020","4","4","2020","106","6"
"4/3/2020","3","4","2020","96","2"
"4/2/2020","2","4","2020","159","1"
"4/1/2020","1","4","2020","108","2"
"3/31/2020","31","3","2020","96","4"
"3/30/2020","30","3","2020","94","4"
"3/29/2020","29","3","2020","69","0"
"3/28/2020","28","3","2020","48","0"
"3/27/2020","27","3","2020","21","2"
"3/26/2020","26","3","2020","92","1"
"3/25/2020","25","3","2020","72","0"
"3/24/2020","24","3","2020","71","1"
"3/23/2020","23","3","2020","25","1"
"3/22/2020","22","3","2020","52","1"
"3/21/2020","21","3","2020","30","0"
"3/20/2020","20","3","2020","26","0"
"3/19/2020","19","3","2020","37","0"
"3/18/2020","18","3","2020","8","0"
"3/17/2020","17","3","2020","12","0"
"3/16/2020","16","3","2020","11","0"
"3/15/2020","15","3","2020","18","0"
"3/14/2020","14","3","2020","7","0"
"3/12/2020","12","3","2020","6","0"
"3/10/2020","10","3","2020","2","0"
"3/7/2020","7","3","2020","1","0"
