"date","day","month","year","cases","deaths"
"6/29/2020","29","6","2020","174","22"
"6/28/2020","28","6","2020","175","8"
"6/27/2020","27","6","2020","255","30"
"6/26/2020","26","6","2020","296","34"
"6/25/2020","25","6","2020","577","-31"
"6/24/2020","24","6","2020","113","18"
"6/23/2020","23","6","2020","221","23"
"6/22/2020","22","6","2020","224","24"
"6/21/2020","21","6","2020","264","49"
"6/20/2020","20","6","2020","148","47"
"6/19/2020","19","6","2020","331","66"
"6/18/2020","18","6","2020","328","43"
"6/17/2020","17","6","2020","210","34"
"6/16/2020","16","6","2020","301","26"
"6/15/2020","15","6","2020","338","44"
"6/14/2020","14","6","2020","346","78"
"6/13/2020","13","6","2020","163","56"
"6/12/2020","12","6","2020","379","53"
"6/11/2020","11","6","2020","202","71"
"6/10/2020","10","6","2020","283","79"
"6/9/2020","9","6","2020","280","65"
"6/8/2020","8","6","2020","197","53"
"6/7/2020","7","6","2020","270","72"
"6/6/2020","6","6","2020","518","85"
"6/5/2020","5","6","2020","177","88"
"6/4/2020","4","6","2020","321","71"
"6/3/2020","3","6","2020","318","55"
"6/2/2020","2","6","2020","178","60"
"6/1/2020","1","6","2020","355","75"
"5/31/2020","31","5","2020","416","111"
"5/30/2020","30","5","2020","516","87"
"5/29/2020","29","5","2020","593","70"
"5/28/2020","28","5","2020","584","117"
"5/27/2020","27","5","2020","397","78"
"5/26/2020","26","5","2020","300","92"
"5/25/2020","25","5","2020","531","50"
"5/24/2020","24","5","2020","669","119"
"5/23/2020","23","5","2020","652","130"
"5/22/2020","22","5","2020","642","156"
"5/21/2020","21","5","2020","665","161"
"5/20/2020","20","5","2020","813","162"
"5/19/2020","19","5","2020","451","99"
"5/18/2020","18","5","2020","675","145"
"5/17/2020","17","5","2020","875","153"
"5/16/2020","16","5","2020","789","242"
"5/15/2020","15","5","2020","992","262"
"5/14/2020","14","5","2020","888","195"
"5/13/2020","13","5","2020","1402","172"
"5/12/2020","12","5","2020","744","179"
"5/11/2020","11","5","2020","802","165"
"5/10/2020","10","5","2020","1083","194"
"5/9/2020","9","5","2020","1327","243"
"5/8/2020","8","5","2020","1401","274"
"5/7/2020","7","5","2020","1444","369"
"5/6/2020","6","5","2020","1075","236"
"5/5/2020","5","5","2020","1221","195"
"5/4/2020","4","5","2020","1389","174"
"5/3/2020","3","5","2020","1900","474"
"5/2/2020","2","5","2020","1965","269"
"5/1/2020","1","5","2020","1872","285"
"4/30/2020","30","4","2020","2086","323"
"4/29/2020","29","4","2020","2091","382"
"4/28/2020","28","4","2020","1739","333"
"4/27/2020","27","4","2020","2324","260"
"4/26/2020","26","4","2020","2357","415"
"4/25/2020","25","4","2020","3021","420"
"4/24/2020","24","4","2020","2646","464"
"4/23/2020","23","4","2020","3370","437"
"4/22/2020","22","4","2020","2729","534"
"4/21/2020","21","4","2020","2256","454"
"4/20/2020","20","4","2020","3047","433"
"4/19/2020","19","4","2020","3491","480"
"4/18/2020","18","4","2020","3493","575"
"4/17/2020","17","4","2020","3786","525"
"4/16/2020","16","4","2020","2667","578"
"4/15/2020","15","4","2020","2972","604"
"4/14/2020","14","4","2020","3153","564"
"4/13/2020","13","4","2020","4092","431"
"4/12/2020","12","4","2020","4694","619"
"4/11/2020","11","4","2020","3951","570"
