"date","day","month","year","cases","deaths"
"6/28/2020","28","6","2020","301","2"
"6/27/2020","27","6","2020","564","3"
"6/26/2020","26","6","2020","419","8"
"6/25/2020","25","6","2020","400","3"
"6/24/2020","24","6","2020","334","2"
"6/23/2020","23","6","2020","248","1"
"6/22/2020","22","6","2020","232","1"
"6/21/2020","21","6","2020","334","1"
"6/20/2020","20","6","2020","363","7"
"6/19/2020","19","6","2020","307","1179"
"6/18/2020","18","6","2020","585","0"
"6/17/2020","17","6","2020","355","0"
"6/16/2020","16","6","2020","219","0"
"6/15/2020","15","6","2020","181","0"
"6/14/2020","14","6","2020","323","0"
"6/13/2020","13","6","2020","396","0"
"6/12/2020","12","6","2020","502","0"
"6/11/2020","11","6","2020","427","0"
"6/10/2020","10","6","2020","314","0"
"6/9/2020","9","6","2020","249","0"
"6/8/2020","8","6","2020","167","0"
"6/7/2020","7","6","2020","240","1"
"6/6/2020","6","6","2020","332","1"
"6/5/2020","5","6","2020","318","1"
"6/4/2020","4","6","2020","334","5"
"6/3/2020","3","6","2020","394","1"
"6/2/2020","2","6","2020","294","0"
"6/1/2020","1","6","2020","209","0"
"5/31/2020","31","5","2020","201","2"
"5/30/2020","30","5","2020","664","4"
"5/29/2020","29","5","2020","658","2"
"5/28/2020","28","5","2020","1137","1"
"5/27/2020","27","5","2020","510","1"
"5/26/2020","26","5","2020","859","283"
"5/25/2020","25","5","2020","372","1918"
"5/24/2020","24","5","2020","482","74"
"5/23/2020","23","5","2020","466","50"
"5/22/2020","22","5","2020","1787","688"
"5/21/2020","21","5","2020","482","52"
"5/20/2020","20","5","2020","518","110"
"5/19/2020","19","5","2020","431","69"
"5/18/2020","18","5","2020","256","59"
"5/17/2020","17","5","2020","652","87"
"5/16/2020","16","5","2020","515","104"
"5/15/2020","15","5","2020","643","138"
"5/14/2020","14","5","2020","849","217"
"5/13/2020","13","5","2020","439","184"
"5/12/2020","12","5","2020","482","176"
"5/11/2020","11","5","2020","393","123"
"5/10/2020","10","5","2020","3416","143"
"5/9/2020","9","5","2020","743","227"
"5/8/2020","8","5","2020","1173","181"
"5/7/2020","7","5","2020","921","213"
"5/6/2020","6","5","2020","880","244"
"5/5/2020","5","5","2020","1039","185"
"5/4/2020","4","5","2020","466","164"
"5/3/2020","3","5","2020","935","164"
"5/2/2020","2","5","2020","1234","276"
"5/1/2020","1","5","2020","1387","281"
"4/30/2020","30","4","2020","1241","268"
"4/29/2020","29","4","2020","847","453"
"4/28/2020","28","4","2020","1525","632"
"4/27/2020","27","4","2020","1660","0"
"4/26/2020","26","4","2020","1641","288"
"4/25/2020","25","4","2020","2506","378"
"4/24/2020","24","4","2020","2114","367"
"4/23/2020","23","4","2020","2916","440"
"4/22/2020","22","4","2020","2312","435"
"4/21/2020","21","4","2020","2951","430"
"4/20/2020","20","4","2020","2218","399"
"4/19/2020","19","4","2020","713","410"
"4/18/2020","18","4","2020","3836","565"
"4/17/2020","17","4","2020","3818","585"
"4/16/2020","16","4","2020","3820","617"
"4/15/2020","15","4","2020","4424","787"
"4/14/2020","14","4","2020","3116","517"
"4/13/2020","13","4","2020","3030","619"
"4/12/2020","12","4","2020","3899","510"
